address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma,ema,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,+di,-di,dx,adx,adxr,Target
So11111111111111111111111111111111111111112,192.34083653568086,3578,2024-03-26,192.34083653568086,192.34083653568086,192.34083653568086,192.34083653568086,192.34083653568086,192.34083653568086,-13.6012,68.2459,187.876,187.979,3.6416,3.4192,194.998,180.754,-100.0,-0.0115,13063.49749302393,52.7512,0.6571,68.2484,31.7516,36.4969,30.4578,25.148,0
So11111111111111111111111111111111111111112,193.15690674641363,3577,2024-03-26,193.15690674641363,193.15690674641363,193.15690674641363,193.15690674641363,193.15690674641363,193.15690674641363,3.2307,71.5487,187.5081,187.5199,3.7155,3.3636,194.4268,180.5894,-0.0,0.6641,13255.83832955961,100.0,1.1144,71.552,28.448,43.1041,29.9932,24.2932,1
So11111111111111111111111111111111111111112,192.96306673343847,3576,2024-03-26,192.96306673343847,192.96306673343847,192.96306673343847,192.96306673343847,192.96306673343847,192.96306673343847,2.6526,71.2414,186.9479,186.9265,3.6726,3.2756,193.7599,180.1359,-0.0,1.6844,13062.681422813197,75.7303,0.3776,71.245,28.755,42.4901,28.9847,23.2256,0
So11111111111111111111111111111111111111112,192.80390800740645,3575,2024-03-25,192.80390800740645,192.80390800740645,192.80390800740645,192.80390800740645,192.80390800740645,192.80390800740645,4.4472,71.0016,186.2434,186.2911,3.5842,3.1763,193.33,179.1568,-0.0,2.4695,12869.718356079758,39.895,0.1136,71.0065,28.9935,42.013,27.9458,22.1504,0
So11111111111111111111111111111111111111112,192.53707689249632,3574,2024-03-25,192.53707689249632,192.53707689249632,192.53707689249632,192.53707689249632,192.53707689249632,192.53707689249632,33.6409,70.6235,185.41,185.6055,3.4354,3.0744,193.1086,177.7114,-0.0,1.9692,12676.914448072352,40.1339,0.1503,70.6271,29.3729,41.2543,26.8638,21.0865,0
So11111111111111111111111111111111111111112,190.51862236256196,3573,2024-03-25,190.51862236256196,190.51862236256196,190.51862236256196,190.51862236256196,190.51862236256196,190.51862236256196,55.7627,67.6532,184.5981,184.8759,3.2227,2.9841,192.54,176.6562,-0.0,-0.0642,12484.377371179855,41.6201,-1.0068,67.6544,32.3456,35.3087,25.7568,20.1342,0
So11111111111111111111111111111111111111112,187.17286127402923,3572,2024-03-25,187.17286127402923,187.17286127402923,187.17286127402923,187.17286127402923,187.17286127402923,187.17286127402923,-13.3279,61.6835,183.7739,184.2819,3.1099,2.9244,192.4721,175.0757,-95.8852,-0.6473,12293.858748817293,22.8765,-3.4885,61.6859,38.3141,23.3717,25.022,19.5633,1
So11111111111111111111111111111111111111112,187.9725337088901,3571,2024-03-25,187.9725337088901,187.9725337088901,187.9725337088901,187.9725337088901,187.9725337088901,187.9725337088901,-26.9945,64.3179,183.1259,183.9776,3.2613,2.8781,192.6102,173.6416,-42.0191,0.8494,12481.031610091322,0.3628,-2.127,64.3199,35.6801,28.6399,25.149,18.8141,0
So11111111111111111111111111111111111111112,189.59220376819303,3570,2024-03-25,189.59220376819303,189.59220376819303,189.59220376819303,189.59220376819303,189.59220376819303,189.59220376819303,4.9825,69.9327,182.5395,183.5571,3.3257,2.7823,192.2014,172.8776,-0.0,1.5154,12669.004143800212,44.8766,0.0778,69.9366,30.0634,39.8731,24.8804,17.516,0
So11111111111111111111111111111111111111112,189.29325492452813,3569,2024-03-25,189.29325492452813,189.29325492452813,189.29325492452813,189.29325492452813,189.29325492452813,189.29325492452813,37.0703,69.4767,181.9017,182.9218,3.1946,2.6464,191.2975,172.5059,-0.0,0.9725,12479.41194003202,48.1184,0.6902,69.4798,30.5202,38.9596,23.7272,16.0456,0
